waiting on port: 8888
{'SHZ', 1499264830.579000, 28064, 5025, -541, 13549, -11161, -10842, 8296, -3289, 1999, 13918, -23880, -19694, 19689, 11900, 11042, 4256, -37092, -23120, 14878, 8900, 7943, 8885, -21694, 2902, 25244, -8374, -10769, 6551, -19644, 5914, 22827, -7087, 2174, 11761, -18009, -314, 17925, -11166, -4989, 8213, -30124, -2511, 21205, -3131, 12378, 12047, -27893, -3919, 14818, -9873}
{'SHZ', 1499264831.579000, 6522, 14669, -30691, -1197, 32046, -1045, 9907, 4877, -40617, -12465, 8539, -13923, 7800, 25134, -2546, 6888, 11249, -21667, -11876, -3753, -16402, 11130, 18150, -6186, 15908, 15908, -12107, -192, -7215, -29296, 4650, 4005, -16489, 18090, 16295, -3588, 17888, -2302, -28250, -6272, -1052, -14581, 10707, 9725, -5044, 26183, 20161, -19879, -976, -17475}
{'SHZ', 1499264832.579000, -27295, 14035, 8207, -18661, 21654, 12450, -12088, 21073, 3618, -32964, -1496, -6624, -15405, 18738, 9495, -9466, 15921, 6886, -12608, -2475, -10064, -20916, 15077, -5905, -21214, 9132, -1014, -7227, 24780, -2424, -20552, 2409, -2114, -12238, 8816, -6536, -16003, 35740, 23873, -3804, 5959, -27716, -22653, 27551, 12916, -3626, 15042, -6927, 444, 31725}
{'SHZ', 1499264833.579000, -3416, -18904, -85, -13149, 26003, 58852, 9649, -29214, -7930, -14297, 2190, 43432, 6751, -13117, 3719, -28051, -19716, 19942, 2471, -3100, -334, -27320, -18494, 26500, 6739, -8030, -5081, -33578, -8429, 31135, 7678, 7672, 4794, -37492, -4051, 29459, 6533, -2960, -8237, -35294, -2154, 41585, 40488, 50419, 11080, -61354, -7125, 32981, 10790, 5633}
{'SHZ', 1499264834.579000, -18920, -46294, -13033, 5115, -14685, 17071, -10275, -43452, -3639, 134, -9871, 24599, 291, -47347, -4305, 13413, -1391, 13702, -9075, -29410, 6471, 4368, -13225, 13833, -4148, -1603, 31451, 3609, -19848, 1765, -18069, -14772, 21282, 2200, -388, 24593, -3089, -9494, 7081, -13388, -261, 31694, 12579, -1880, 10023, -19000, -10229, 23282, -4453, 1681}
{'SHZ', 1499264835.579000, 14203, -19278, -3898, 11714, -8853, 8489, 22673, -16655, -5401, 4194, -23994, 6942, 37901, -20489, -15922, 2787, -12307, 19376, 25989, -20197, -10322, 4018, -17508, 9850, 11687, -18850, 11420, 2018, -17126, 14428, -962, -16069, 15103, 1230, -14131, 14207, 9238, 1842, 29399, 1068, -15513, 12685, -11023, -16623, 1145, -25549, -18643, 11052, -8472, -4940}
{'SHZ', 1499264836.579000, 21631, -8666, -8934, 19857, -12359, -6722, 12752, -6557, 20978, 22809, -16811, -2250, 4721, -15019, 4910, 6864, -9648, 9262, 5434, -1075, 28858, 3392, -20184, -2713, -15554, -5352, 20935, -6416, -2784, 19939, -7957, -10245, 7516, -16388, -13864, 8085, -18995, 715, 8716, -11372, 15856, 12706, -16947, 2287, -2195, -9359, 12130, -501, -20245, 18773}
{'SHZ', 1499264837.579000, 9119, -6082, 7899, -14133, -11956, 18200, 695, 5746, 11265, -18158, -7867, 20766, -754, -10562, -12064, -24032, 5392, 25355, -1026, 14350, 7449, -18555, 7712, -250, -20183, 15026, 3307, -15541, 6072, -4243, -14224, 17028, -3634, -16922, -2008, -14963, -1461, 27623, -71, 4637, 14006, -4453, 10388, 10346, -19722, -1164, 12371, -10714, 5656, 1017}
{'SHZ', 1499264838.579000, -22164, 19602, 14590, -14114, -928, -22759, -19585, 25401, 17762, -4216, 8288, -15955, -14254, 19983, -10796, -19356, 12897, -4847, 4667, 16947, -9061, 893, 6419, -9902, 103, -647, -14425, 9996, 11480, -11761, 8988, -6565, -13981, 17034, -2382, -17567, 8715, -3621, 1922, 24264, -3306, -12691, 11085, -9092, -2692, 11217, -16574, -7410, 18719, -3511}
{'SHZ', 1499264839.579000, 3796, 9674, -13001, -134, 9433, -11886, -1744, 390, -12075, 12747, 17162, -11784, 4771, -3919, -8573, 18080, -8394, -17354, 11191, -7024, -1962, 16938, -4346, -15485, 12440, -3403, 1582, 8400, -19905, 6106, 19130, -15464, -5629, 5417, -12153, 9564, 4039, -25742, -1171, 15138, -1460, 14937, 8164, -18874, 2826, 3776, -8037, 8519, -8944, -20386}
